date,value,numberOfEntries
"2019-06-01 15:55:00",0.206099,345
"2019-06-01 16:00:00",0.589903,1859
"2019-06-01 16:05:00",0.180376,1314
"2019-06-01 16:10:00",0.0143663,1088
"2019-06-01 16:15:00",0.0149826,1106
"2019-06-01 16:20:00",0.0149922,1057
"2019-06-01 16:25:00",0.0146518,1164
"2019-06-01 16:30:00",0.015029,835
"2019-06-01 16:35:00",0.014174,608
"2019-06-01 16:40:00",0.0143898,1040
"2019-06-01 16:45:00",0.0141761,853
"2019-06-01 16:50:00",0.830675,1506
"2019-06-01 16:55:00",0.0450067,2998
"2019-06-01 17:00:00",0.0331853,3007
"2019-06-01 17:05:00",0.0246688,2999
"2019-06-01 17:10:00",0.0252818,2998
"2019-06-01 17:15:00",0.0298574,2998
"2019-06-01 17:20:00",0.023305,2997
"2019-06-01 17:25:00",0.0217815,2998
"2019-06-01 17:30:00",0.0214816,2999
"2019-06-01 17:35:00",0.0249254,2998
"2019-06-01 17:40:00",0.026574,2998
"2019-06-01 17:45:00",0.023963,2998
"2019-06-01 17:50:00",0.179083,2305
"2019-06-01 17:55:00",0.0154806,1405
"2019-06-01 18:00:00",0.0164145,1320
"2019-06-01 18:05:00",0.19494,1517
"2019-06-01 18:10:00",0.393855,2100
"2019-06-01 18:15:00",0.153838,2188
"2019-06-01 18:20:00",0.0159195,1482
"2019-06-01 18:25:00",0.0167795,1183
"2019-06-01 18:30:00",0.0167449,939
"2019-06-01 18:35:00",0.0165682,921
"2019-06-01 18:40:00",0.0166962,524
"2019-06-01 18:45:00",0.0168069,807
"2019-06-01 18:50:00",0.0164663,925
"2019-06-01 18:55:00",0.0168774,676
"2019-06-01 19:00:00",0.0155673,931
"2019-06-01 19:05:00",0.0153545,716
"2019-06-01 19:10:00",0.0218795,849
"2019-06-01 19:15:00",0.0165068,1002
"2019-06-01 19:20:00",0.0154476,683
"2019-06-01 19:25:00",0.017392,820
"2019-06-01 19:30:00",0.0152444,1119
"2019-06-01 19:35:00",0.0162843,748
"2019-06-01 19:40:00",0.016953,713
"2019-06-01 19:45:00",0.017447,1002
"2019-06-01 19:50:00",0.0170056,946
"2019-06-01 19:55:00",0.0176426,1038
"2019-06-01 20:00:00",0.0167029,832
"2019-06-01 20:05:00",0.299816,1761
"2019-06-01 20:10:00",0.0166614,1495
"2019-06-01 20:15:00",0.0171285,1390
"2019-06-01 20:20:00",0.0174561,669
"2019-06-01 20:25:00",0.0170709,867
"2019-06-01 20:30:00",0.0174926,706
"2019-06-01 20:35:00",0.0170438,485
"2019-06-01 20:40:00",0.0174672,797
"2019-06-01 20:45:00",0.0179147,857
"2019-06-01 20:50:00",0.0173909,932
"2019-06-01 20:55:00",0.0182382,980
"2019-06-01 21:00:00",0.0178229,871
"2019-06-01 21:05:00",0.0164196,743
"2019-06-01 21:10:00",0.017789,566
"2019-06-01 21:15:00",0.0202938,1266
"2019-06-01 21:20:00",0.0169885,1002
"2019-06-01 21:25:00",0.0159798,1079
"2019-06-01 21:30:00",0.65395,12100
"2019-06-01 21:35:00",0.620016,6231
"2019-06-01 21:40:00",0.522257,4077
"2019-06-01 21:45:00",0.665558,4416
"2019-06-01 21:50:00",0.542522,2503
"2019-06-01 21:55:00",0.0145084,1757
"2019-06-01 22:00:00",0.0153595,1604
"2019-06-01 22:05:00",0.01506,651
"2019-06-01 22:10:00",0.0148078,1174
"2019-06-01 22:15:00",0.0153521,1081
"2019-06-01 22:20:00",0.0150234,1663
"2019-06-01 22:25:00",0.0152104,1317
"2019-06-01 22:30:00",0.0145676,1152
"2019-06-01 22:35:00",0.0149871,750
"2019-06-01 22:40:00",0.0147701,1348
"2019-06-01 22:45:00",0.0163458,980
"2019-06-01 22:50:00",0.0143995,874
"2019-06-01 22:55:00",0.0151288,1709
"2019-06-01 23:00:00",0.0165225,1082
"2019-06-01 23:05:00",0.0151544,1165
"2019-06-01 23:10:00",0.0155867,855
"2019-06-01 23:15:00",0.0152778,1139
"2019-06-01 23:20:00",0.015489,1008
"2019-06-01 23:25:00",0.0153136,1076
"2019-06-01 23:30:00",0.0157285,1158
"2019-06-01 23:35:00",0.0154736,544
"2019-06-01 23:40:00",0.0159823,506
"2019-06-01 23:45:00",0.0418899,1053
"2019-06-01 23:50:00",0.0199587,1173
"2019-06-01 23:55:00",0.0209845,413
"2019-06-02 00:00:00",0.020217,293
"2019-06-02 00:05:00",0.0206442,824
